file,title,title_len,meta_description,meta_desc_len,canonical,og_title,og_description,og_image,h1,h2_sample,word_count
about.html,About | Aviera,14,Learn about Aviera and why we built an AI-powered supplement and fitness advisor to help you reach your goals.,110,,,,,Built for you. Not the industry.,How we got here. | Our values. | Ready to start?,396
creatine.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,CREA | TINE | PURE,WHY THIS HITS DIFFERENT | THE FORMULA | WHAT THEY'RE SAYING | MORE REPS. MORE WEIGHT.,377
home.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,Stop guessing. Start progressing.,"The Drop | Three steps. Your formula. | What they're saying. | Drops, early.",354
hydration.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,HYDRA | TION | LEMONADE,WHY THIS HITS DIFFERENT | THE FORMULA | WHAT THEY'RE SAYING | DON'T TRAIN DRY.,375
magnesium.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,MAG | NESI | UM,WHY THIS HITS DIFFERENT | THE FORMULA | WHAT THEY'RE SAYING | SLEEP LIKE A CHAMPION.,388
news.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,The Latest from Aviera,Past drops.,176
nitric.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,FLOW | STATE | X,WHY THIS HITS DIFFERENT | THE FORMULA | WHAT THEY'RE SAYING | DON'T TRAIN FLAT.,324
preworkout.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,NITRIC | SHOCK | FRUIT PUNCH,WHY THIS HITS DIFFERENT | THE FORMULA | WHAT THEY'RE SAYING | DON'T TRAIN FLAT.,383
robots.txt.html,404: This page could not be found.,34,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,404,This page could not be found.,20
shop.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,Shop Aviera.,,101
sitemap.xml.html,404: This page could not be found.,34,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,404,This page could not be found.,20
supplement-optimization-score.html,Aviera | Stop Guessing. Start Progressing.,42,"Stop Guessing. Start Progressing. Aviera is your AI-powered supplement and fitness advisor — get personalized supplement stacks and workout plans based on your goals. Science-backed, personalized, results-driven.",212,,,,,Personalized Supplements,Performance Baseline,52
